,y
0,1.6094379124341003
1,0.0
2,2.3978952727983707
3,0.0
4,1.6094379124341003
5,0.0
6,1.791759469228055
7,1.0986122886681098
8,2.4849066497880004
9,0.0
10,0.6931471805599453
11,2.6390573296152584
12,1.6094379124341003
13,2.0794415416798357
14,1.3862943611198906
15,1.3862943611198906
16,1.791759469228055
17,2.6390573296152584
18,2.833213344056216
19,2.302585092994046
20,1.0986122886681098
21,1.6094379124341003
22,3.713572066704308
23,3.044522437723423
24,2.302585092994046
25,1.6094379124341003
26,1.791759469228055
27,2.833213344056216
28,1.0986122886681098
29,3.8066624897703196
30,1.0986122886681098
31,1.791759469228055
32,2.6390573296152584
33,3.091042453358316
34,1.0986122886681098
35,2.0794415416798357
36,2.0794415416798357
37,1.9459101490553132
38,2.0794415416798357
39,1.3862943611198906
40,1.6094379124341003
41,1.3862943611198906
42,0.6931471805599453
43,0.0
44,1.9459101490553132
45,2.995732273553991
46,1.0986122886681098
47,2.70805020110221
48,1.6094379124341003
49,0.6931471805599453
50,1.9459101490553132
51,2.70805020110221
52,2.0794415416798357
53,1.3862943611198906
54,1.9459101490553132
55,1.791759469228055
56,2.1972245773362196
57,1.0986122886681098
58,1.0986122886681098
59,1.3862943611198906
60,1.6094379124341003
61,1.6094379124341003
62,2.70805020110221
63,3.6635616461296463
64,1.791759469228055
65,0.6931471805599453
66,1.3862943611198906
67,2.302585092994046
68,2.302585092994046
69,2.302585092994046
70,1.3862943611198906
71,1.9459101490553132
72,2.5649493574615367
73,1.3862943611198906
74,3.6109179126442243
75,2.302585092994046
76,0.0
77,0.6931471805599453
78,3.4965075614664802
79,1.6094379124341003
80,2.3978952727983707
81,0.0
82,0.0
83,2.0794415416798357
84,2.0794415416798357
85,2.302585092994046
86,3.7612001156935624
87,1.6094379124341003
88,1.3862943611198906
89,2.1972245773362196
90,1.3862943611198906
91,2.6390573296152584
92,2.1972245773362196
93,1.6094379124341003
94,2.302585092994046
95,1.791759469228055
96,0.6931471805599453
97,2.833213344056216
98,0.6931471805599453
99,2.3978952727983707
100,1.6094379124341003
101,0.6931471805599453
102,0.0
103,1.0986122886681098
104,2.4849066497880004
105,4.1588830833596715
106,1.791759469228055
107,2.8903717578961645
108,3.367295829986474
109,2.5649493574615367
110,3.912023005428146
111,0.6931471805599453
112,2.3978952727983707
113,1.9459101490553132
114,0.6931471805599453
115,3.713572066704308
116,1.0986122886681098
117,1.6094379124341003
118,3.332204510175204
119,1.9459101490553132
120,3.6635616461296463
121,2.0794415416798357
122,1.791759469228055
123,3.2188758248682006
124,2.302585092994046
125,0.6931471805599453
126,0.0
127,2.3978952727983707
128,1.3862943611198906
129,2.1972245773362196
130,1.0986122886681098
131,0.6931471805599453
132,1.0986122886681098
133,1.3862943611198906
134,2.3978952727983707
135,1.0986122886681098
136,2.302585092994046
137,2.302585092994046
138,2.302585092994046
139,1.0986122886681098
140,1.3862943611198906
141,0.0
142,0.0
143,1.791759469228055
144,1.0986122886681098
145,0.0
146,0.6931471805599453
147,1.3862943611198906
148,1.0986122886681098
149,2.5649493574615367
150,2.3978952727983707
151,2.0794415416798357
152,1.0986122886681098
153,2.4849066497880004
154,0.0
155,1.3862943611198906
156,3.2188758248682006
157,1.3862943611198906
158,1.3862943611198906
159,4.3694478524670215
160,2.4849066497880004
161,2.772588722239781
162,3.6635616461296463
163,1.3862943611198906
164,1.6094379124341003
165,1.3862943611198906
166,3.091042453358316
167,1.6094379124341003
168,1.6094379124341003
169,0.6931471805599453
170,1.791759469228055
171,1.791759469228055
172,2.0794415416798357
173,1.791759469228055
174,0.6931471805599453
175,0.6931471805599453
176,0.6931471805599453
177,0.6931471805599453
178,2.772588722239781
179,0.6931471805599453
180,2.5649493574615367
181,2.6390573296152584
182,2.302585092994046
183,1.3862943611198906
184,0.6931471805599453
185,2.302585092994046
186,0.0
187,1.3862943611198906
188,3.4011973816621555
189,2.772588722239781
190,3.367295829986474
191,0.0
192,1.6094379124341003
193,1.6094379124341003
194,0.0
195,1.791759469228055
196,1.0986122886681098
197,0.6931471805599453
198,1.3862943611198906
199,2.4849066497880004
200,0.6931471805599453
201,2.6390573296152584
202,1.0986122886681098
203,1.791759469228055
204,0.6931471805599453
205,1.3862943611198906
206,2.5649493574615367
207,2.1972245773362196
208,1.3862943611198906
209,0.0
210,3.1780538303479458
211,4.394449154672439
212,1.0986122886681098
213,3.091042453358316
214,2.0794415416798357
215,2.995732273553991
216,1.791759469228055
217,2.302585092994046
218,1.9459101490553132
219,2.833213344056216
220,0.0
221,2.4849066497880004
222,2.0794415416798357
223,1.791759469228055
224,0.0
225,2.4849066497880004
226,3.332204510175204
227,2.302585092994046
228,3.6109179126442243
229,0.0
230,0.6931471805599453
231,2.833213344056216
232,0.6931471805599453
233,2.302585092994046
234,2.4849066497880004
235,0.6931471805599453
236,0.6931471805599453
237,2.70805020110221
238,0.0
239,2.302585092994046
240,1.0986122886681098
241,0.6931471805599453
242,0.0
243,1.0986122886681098
244,2.302585092994046
245,1.791759469228055
246,1.791759469228055
247,1.791759469228055
248,1.6094379124341003
249,0.6931471805599453
250,1.6094379124341003
251,1.0986122886681098
252,3.1780538303479458
253,0.0
254,1.3862943611198906
255,2.4849066497880004
256,0.6931471805599453
257,2.1972245773362196
258,0.0
259,1.3862943611198906
260,0.0
261,2.0794415416798357
262,0.0
263,1.6094379124341003
264,2.0794415416798357
265,3.5263605246161616
266,1.0986122886681098
267,2.302585092994046
268,2.8903717578961645
269,2.6390573296152584
270,1.791759469228055
271,2.995732273553991
272,2.0794415416798357
273,1.3862943611198906
274,1.0986122886681098
275,1.9459101490553132
276,2.1972245773362196
277,1.9459101490553132
278,0.0
279,1.3862943611198906
280,2.4849066497880004
281,2.6390573296152584
282,1.0986122886681098
283,1.6094379124341003
284,2.4849066497880004
285,2.302585092994046
286,0.6931471805599453
287,4.605170185988092
288,3.1354942159291497
289,2.3978952727983707
290,0.0
291,1.3862943611198906
292,1.3862943611198906
293,1.3862943611198906
294,2.8903717578961645
295,0.6931471805599453
296,1.6094379124341003
297,3.2188758248682006
298,0.6931471805599453
299,1.791759469228055
300,2.6390573296152584
301,0.6931471805599453
302,1.0986122886681098
303,2.5649493574615367
304,1.3862943611198906
305,2.4849066497880004
306,3.091042453358316
307,1.0986122886681098
308,1.6094379124341003
309,2.0794415416798357
310,1.6094379124341003
311,2.1972245773362196
312,0.0
313,0.6931471805599453
314,0.6931471805599453
315,2.0794415416798357
316,0.6931471805599453
317,4.127134385045092
318,2.0794415416798357
319,1.0986122886681098
320,2.302585092994046
321,0.6931471805599453
322,2.302585092994046
323,1.0986122886681098
324,2.4849066497880004
325,0.0
326,0.0
327,1.9459101490553132
328,0.0
329,0.6931471805599453
330,1.9459101490553132
331,3.8501476017100584
332,1.3862943611198906
333,0.0
334,0.6931471805599453
335,1.0986122886681098
336,1.6094379124341003
337,4.605170185988092
338,1.6094379124341003
339,2.302585092994046
340,1.0986122886681098
341,1.3862943611198906
342,2.4849066497880004
343,1.0986122886681098
344,2.302585092994046
345,0.6931471805599453
346,2.1972245773362196
347,1.0986122886681098
348,2.0794415416798357
349,0.0
350,1.6094379124341003
351,2.772588722239781
352,0.6931471805599453
353,2.0794415416798357
354,2.3978952727983707
355,2.9444389791664403
356,2.0794415416798357
357,0.6931471805599453
358,2.0794415416798357
359,3.1780538303479458
360,1.0986122886681098
361,2.772588722239781
362,2.8903717578961645
363,1.6094379124341003
